>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
"Start Time","Station","Part","Operator","Elapsed","Product","Head Stack S/N","Disk Pack S/N","Device ID","Disk ID","Product"
"6/21/2017 3:24:47 PM","HAMR-DET5","WM68-F18-G2","1000134533","00:00:56","Astra_PA5275_A","2","E010R9J002","77508","E010R9J003","Astra_PA5275_A"

"ZName","Zone Setup","Track #","Head #","Head S/N","Iteration ID","Conf","TS_TFCSetup_AEPowerRF0","TS_TFCSetup_AEPowerRF1","TS_TFCSetup_AEPowerRF2","TS_TFCSetup_AEPowerRF3","TS_TFCSetup_AE_Sensor_DEV","TS_TFCSetup_AE_Sensor_DEV_RTDPower","TS_TFCSetup_AE_Sensor_DEV_Th","TS_TFCSetup_AE_Sensor_NMC","TS_TFCSetup_AE_Sensor_NMC_RTDPower","TS_TFCSetup_AE_Sensor_NMC_Th","TS_TFCSetup_AE_Sensor_RMS","TS_TFCSetup_AE_Sensor_RMS_RTDPower","TS_TFCSetup_AE_Sensor_RMS_Th","TS_TFCSetup_AE_Sensor_dDEV","TS_TFCSetup_AE_Sensor_dDEV_RTDPower","TS_TFCSetup_AE_Sensor_dDEV_Th","TS_TFCSetup_AE_Sensor_dNMC","TS_TFCSetup_AE_Sensor_dNMC_RTDPower","TS_TFCSetup_AE_Sensor_dNMC_Th","TS_TFCSetup_AE_Sensor_dRMS","TS_TFCSetup_AE_Sensor_dRMS_RTDPower","TS_TFCSetup_AE_Sensor_dRMS_Th","TS_TFCSetup_AE_Sensor_fdDEV","TS_TFCSetup_AE_Sensor_fdDEV_RTDPower","TS_TFCSetup_AE_Sensor_fdNMC","TS_TFCSetup_AE_Sensor_fdNMC_RTDPower","TS_TFCSetup_AE_Sensor_fdRMS","TS_TFCSetup_AE_Sensor_fdRMS_RTDPower","TS_TFCSetup_MaxPowerAtFreq","TS_TFCSetup_MaxPowerDelta","TS_TFCSetup_MechClearance (nm)","TS_TFCSetup_R_TDownPower (mW)","TS_TFCSetup_R_TDownPowerIter (mW)","TS_TFCSetup_R_TDownVoltage (V)","TS_TFCSetup_ReadTFCBO (mW)","TS_TFCSetup_ReadTFCBO_V (V)","TS_TFCSetup_TA_Sensor_A","TS_TFCSetup_TA_Sensor_A_RTDPower","TS_TFCSetup_TA_Sensor_A_Th","TS_TFCSetup_TA_Sensor_D","TS_TFCSetup_TA_Sensor_D_RTDPower","TS_TFCSetup_TA_Sensor_D_Th","TS_TFCSetup_TD_DetectedBy","TS_TFCSetup_TD_TFC_Power (mW)","TS_TFCSetup_TS_TFC_R (Ohm)","TS_TFCSetup_WriteTFCBO (mW)","TS_TFCSetup_WriteTFCBO_V (V)"
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,32,,,,,6.48841664134001E-02,,,0.3301298186916,,,0.801639979626618,,,-1.54726231011824E-03,,,1.96251796090358E-02,,,1.0665592342998E-03,,,-5.86272214368824E-04,,1.85189604148106E-02,,3.97976344565932E-04,,,,,,,,,,0,,,0,,,,103.961555480957,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,33,,,,,6.75238000568598E-02,,,0.33060137098368,,,0.795674240125639,,,1.31813176627981E-03,,,1.80953614576554E-02,,,-5.13925741905013E-04,,,2.74382823116843E-05,,1.06288257882141E-02,,-2.43765707226229E-04,,,,,,,,,,0,,,0,,,,105.922790527344,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,34,,,,,6.27912388998299E-02,,,0.319377937783188,,,0.794575956440205,,,-5.12229870765659E-04,,,-2.6314502210393E-03,,,-1.72887195586125E-03,,,-4.05439665274313E-04,,4.36989475575855E-03,,-8.45166380076164E-04,,,,,,,,,,0,,,0,,,,108.047470092773,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,35,,,,,6.18813315723381E-02,,,0.131815436885116,,,0.797155975702218,,,-1.38095604548459E-03,,,-4.86515145283942E-02,,,3.62644772921588E-04,,,-4.74779049479442E-04,,-1.56984499169911E-02,,-4.35246987599542E-04,,,,,,,,,,0,,,0,,,,110.00870513916,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,36,,,,,6.05377700500325E-02,,,0.343756693976619,,,0.794894994736538,,,-5.74502493709033E-04,,,6.21515412911512E-03,,,8.13360685453052E-05,,,2.99044603396928E-06,,-0.021485525164973,,-2.93396465317449E-05,,,,,,,,,,0,,,0,,,,111.969940185547,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,37,,,,,6.22053507964875E-02,,,0.358533106879374,,,0.796546769760864,,,8.2605752562523E-05,,,5.77996067926552E-02,,,-1.5531151086224E-04,,,1.38383761596237E-04,,6.01290742033021E-03,,2.97117042932355E-04,,,,,,,,,,0,,,0,,,,113.931182861328,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,38,,,,,6.26526721388639E-02,,,0.260679856316929,,,0.790576674636364,,,5.17608966119396E-04,,,-2.03325327808729E-02,,,-1.05688164678042E-03,,,5.55586076773798E-04,,4.36437301350495E-03,,-7.44596710114479E-05,,,,,,,,,,0,,,0,,,,116.055847167969,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,39,,,,,6.32786914028659E-02,,,0.253996202176936,,,0.794964290475755,,,2.62693353274069E-04,,,-2.55847490293269E-02,,,-3.8730183822538E-04,,,3.02669462851598E-04,,-1.71701978084836E-03,,2.91969737342454E-05,,,,,,,,,,0,,,0,,,,118.01708984375,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,40,,,,,6.77873655738955E-02,,,0.335224887188796,,,0.797081839643291,,,1.30904336460927E-03,,,1.90045772473287E-02,,,1.65843262032111E-03,,,5.2463422652027E-04,,7.0375441121063E-03,,8.13892543209774E-04,,,,,,,,,,0,,,0,,,,119.978324890137,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,41,,,,,0.065554049789715,,,0.316361866064682,,,0.801711364561554,,,5.80081914548513E-04,,,1.58995584692004E-02,,,1.72010513856291E-03,,,6.94840630650031E-04,,7.70654585735622E-03,,7.34658574934433E-04,,,,,,,,,,0,,,0,,,,121.939567565918,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,42,,,,,0.061244149034628,,,0.158346857885045,,,0.797240940781963,,,-1.60140804713458E-03,,,-4.32897028225265E-02,,,3.8938928927145E-05,,,-6.61038350299285E-04,,-1.65314049918029E-02,,9.33486420342854E-05,,,,,,,,,,0,,,0,,,,124.064239501953,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,43,,,,,6.62591396737474E-02,,,0.281258484376386,,,0.801895456607209,,,1.72565986081381E-04,,,-8.59131553723052E-03,,,4.50552845922324E-05,,,-7.03066955920803E-04,,-0.017148594411977,,6.07437549244497E-05,,,,,,,,,,0,,,0,,,,126.025482177734,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,44,,,,,6.62586432411476E-02,,,0.357181669278941,,,0.792170210915746,,,1.27839469206549E-03,,,5.06909285393759E-02,,,-1.29273140597921E-03,,,-2.68649137442318E-05,,1.88908300726023E-02,,-7.23127031755467E-04,,,,,,,,,,0,,,0,,,,127.98673248291,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,45,,,,,6.26417795772496E-02,,,0.294009120743182,,,0.79883063349851,,,-9.22214831710817E-04,,,3.25066503127374E-03,,,-7.81350280871646E-04,,,-2.62716174968203E-04,,1.92711953456778E-02,,-9.59556385624778E-04,,,,,,,,,,0,,,0,,,,129.947952270508,,,
